,datetime,open,high,low,close,volume,ema_10,ema_20,date,current_days_high,previous_day_high,strike,symbol
75,2024-02-07 09:15:00,46201.1,46281.75,46159.0,46265.8,170385,46016.81280555655,45987.08564349544,2024-02-07,46296.0,46165.0,46100,NSE:BANKNIFTY24FEB46100CE
76,2024-02-07 09:20:00,46260.0,46292.65,46215.0,46286.0,118440,46065.755941349766,46015.56649173679,2024-02-07,46296.0,46165.0,46100,NSE:BANKNIFTY24FEB46100CE
77,2024-02-07 09:25:00,46285.9,46296.0,46171.3,46209.4,80775,46091.87304708367,46034.03434368309,2024-02-07,46296.0,46165.0,46000,NSE:BANKNIFTY24FEB46000CE
78,2024-02-07 09:30:00,46201.1,46245.0,46193.95,46233.8,61245,46117.67795097778,46053.06665402134,2024-02-07,46296.0,46165.0,46000,NSE:BANKNIFTY24FEB46000CE
79,2024-02-07 09:35:00,46240.2,46252.75,46216.9,46243.4,38775,46140.53650778346,46071.19968182713,2024-02-07,46296.0,46165.0,46000,NSE:BANKNIFTY24FEB46000CE
80,2024-02-07 09:40:00,46240.8,46289.0,46139.75,46185.0,72210,46148.62077980102,46082.041075983674,2024-02-07,46296.0,46165.0,46000,NSE:BANKNIFTY24FEB46000CE
81,2024-02-07 09:45:00,46189.5,46205.0,46156.0,46193.1,31260,46156.70791132369,46092.621002362386,2024-02-07,46296.0,46165.0,46000,NSE:BANKNIFTY24FEB46000CE
82,2024-02-07 09:50:00,46193.1,46210.0,46121.45,46167.0,43845,46158.579200283246,46099.70646512443,2024-02-07,46296.0,46165.0,46000,NSE:BANKNIFTY24FEB46000CE
83,2024-02-07 09:55:00,46168.2,46189.95,46150.0,46181.9,24480,46162.81934588895,46107.5361691716,2024-02-07,46296.0,46165.0,46000,NSE:BANKNIFTY24FEB46000CE
149,2024-02-07 15:25:00,46118.1,46249.85,46112.7,46230.0,152820,46119.64626155678,46089.36765186308,2024-02-07,46296.0,46165.0,46000,NSE:BANKNIFTY24FEB46000CE
152,2024-02-08 09:25:00,46265.0,46341.65,46253.55,46340.0,83445,46196.095660912775,46140.27232799994,2024-02-08,46475.7,46296.0,46100,NSE:BANKNIFTY24FEB46100CE
153,2024-02-08 09:30:00,46335.6,46387.15,46320.0,46326.8,120810,46219.86008620136,46158.03687178657,2024-02-08,46475.7,46296.0,46100,NSE:BANKNIFTY24FEB46100CE
155,2024-02-08 09:40:00,46291.4,46312.0,46269.65,46300.0,29415,46245.32617340753,46183.19526656121,2024-02-08,46475.7,46296.0,46100,NSE:BANKNIFTY24FEB46100CE
158,2024-02-08 09:55:00,46273.9,46342.7,46264.3,46300.9,45900,46265.11854276039,46210.547712388776,2024-02-08,46475.7,46296.0,46100,NSE:BANKNIFTY24FEB46100CE
159,2024-02-08 10:00:00,46296.1,46410.0,46275.05,46410.0,79335,46291.46062589487,46229.54317046105,2024-02-08,46475.7,46296.0,46200,NSE:BANKNIFTY24FEB46200CE
